日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-08-19,'601600,XD中国铝,4.49,4.55,4.47,4.54,4.54,-0.05,-1.1013,0.6829,89315717,402723821.0,76935895197.0,58723394353.7
2022-08-18,'601600,中国铝业,4.57,4.66,4.56,4.64,4.65,-0.08,-1.7204,0.7834,102462683,471256342.0,78306690657.1,59769690912.3
2022-08-17,'601600,中国铝业,4.65,4.66,4.54,4.59,4.57,0.08,1.7505,1.0128,132462068,610902961.0,79677486117.1,60815987470.9
2022-08-16,'601600,中国铝业,4.57,4.61,4.56,4.59,4.61,-0.04,-0.8677,0.7251,94839022,433970469.0,78306690657.1,59769690912.3
2022-08-15,'601600,中国铝业,4.61,4.64,4.56,4.61,4.66,-0.05,-1.073,0.8714,113966803,525064968.0,78992088387.1,60292839191.6
2022-08-12,'601600,中国铝业,4.66,4.69,4.57,4.58,4.59,0.07,1.5251,1.1325,148121410,689853009.0,79848835549.7,60946774540.8
2022-08-11,'601600,中国铝业,4.59,4.61,4.55,4.58,4.56,0.03,0.6579,0.7983,104409847,478345460.0,78649389522.1,60031265052.0
2022-08-10,'601600,中国铝业,4.56,4.64,4.49,4.5,4.51,0.05,1.1086,1.0513,137490723,628132798.0,78135341224.6,59638903842.5
2022-08-09,'601600,中国铝业,4.51,4.52,4.47,4.49,4.5,0.01,0.2222,0.6157,80527166,361778192.0,77278594062.0,58984968493.3
2022-08-08,'601600,中国铝业,4.5,4.52,4.44,4.46,4.49,0.01,0.2227,0.5509,72050177,323385143.0,77107244629.5,58854181423.5
2022-08-05,'601600,中国铝业,4.49,4.5,4.4,4.4,4.4,0.09,2.0455,0.712,93122517,413810913.0,76935895197.0,58723394353.7
2022-08-04,'601600,中国铝业,4.4,4.41,4.35,4.37,4.38,0.02,0.4566,0.6017,78688312,344893632.0,75393750304.4,57546310725.2
2022-08-03,'601600,中国铝业,4.38,4.48,4.35,4.4,4.42,-0.04,-0.905,0.8556,111901516,494820766.0,75051051439.4,57284736585.5
2022-08-02,'601600,中国铝业,4.42,4.57,4.37,4.57,4.63,-0.21,-4.5356,1.3272,173585547,769755477.0,75736449169.4,57807884864.9
2022-08-01,'601600,中国铝业,4.63,4.65,4.59,4.63,4.67,-0.04,-0.8565,0.7654,100100680,462001040.0,79334787252.1,60554413331.3
2022-07-29,'601600,中国铝业,4.67,4.72,4.61,4.65,4.63,0.04,0.8639,1.1586,151523691,707473066.0,80020184982.2,61077561610.6
2022-07-28,'601600,中国铝业,4.63,4.66,4.61,4.65,4.59,0.04,0.8715,0.6242,81638663,377798272.0,79334787252.1,60554413331.3
2022-07-27,'601600,中国铝业,4.59,4.62,4.58,4.6,4.62,-0.03,-0.6494,0.4928,64448477,296339735.0,78649389522.1,60031265052.0
2022-07-26,'601600,中国铝业,4.62,4.63,4.54,4.61,4.61,0.01,0.2169,0.6604,86368482,396162636.0,79163437819.6,60423626261.5
2022-07-25,'601600,中国铝业,4.61,4.78,4.58,4.75,4.53,0.08,1.766,1.5523,203024804,948274262.0,78992088387.1,60292839191.6
2022-07-22,'601600,中国铝业,4.53,4.57,4.47,4.53,4.53,0.0,0.0,0.6681,87373332,395379379.0,77621292927.0,59246542633.0
2022-07-21,'601600,中国铝业,4.53,4.59,4.53,4.58,4.61,-0.08,-1.7354,0.73,95477532,434620516.0,77621292927.0,59246542633.0
2022-07-20,'601600,中国铝业,4.61,4.65,4.58,4.65,4.65,-0.04,-0.8602,0.6315,82596831,380926169.0,78992088387.1,60292839191.6
2022-07-19,'601600,中国铝业,4.65,4.72,4.6,4.65,4.63,0.02,0.432,1.0496,137278708,638720334.0,79677486117.1,60815987470.9
2022-07-18,'601600,中国铝业,4.63,4.65,4.43,4.43,4.38,0.25,5.7078,1.5011,196320139,895820406.0,79334787252.1,60554413331.3
2022-07-15,'601600,中国铝业,4.38,4.48,4.38,4.47,4.5,-0.12,-2.6667,0.8654,113178151,500833775.0,75051051439.4,57284736585.5
2022-07-14,'601600,中国铝业,4.5,4.54,4.5,4.54,4.54,-0.04,-0.8811,0.5475,71600478,323182866.0,77107244629.5,58854181423.5
2022-07-13,'601600,中国铝业,4.54,4.55,4.48,4.53,4.56,-0.02,-0.4386,0.7596,99344146,448800458.0,77792642359.5,59377329702.8
2022-07-12,'601600,中国铝业,4.56,4.62,4.53,4.53,4.57,-0.01,-0.2188,0.6649,86966586,397776739.0,78135341224.6,59638903842.5
2022-07-11,'601600,中国铝业,4.57,4.64,4.53,4.64,4.67,-0.1,-2.1413,0.967,126474063,576906605.0,78306690657.1,59769690912.3
2022-07-08,'601600,中国铝业,4.67,4.75,4.65,4.71,4.67,0.0,0.0,0.7503,98126440,460686559.0,80020184982.2,61077561610.6
2022-07-07,'601600,中国铝业,4.67,4.72,4.61,4.61,4.63,0.04,0.8639,0.8454,110572621,515696317.0,80020184982.2,61077561610.6
2022-07-06,'601600,中国铝业,4.63,4.73,4.6,4.72,4.8,-0.17,-3.5417,1.6223,212180732,985385708.0,79334787252.1,60554413331.3
2022-07-05,'601600,中国铝业,4.8,4.88,4.7,4.71,4.72,0.08,1.6949,1.8151,237394129,1142144456.0,82247727604.8,62777793518.4
2022-07-04,'601600,中国铝业,4.72,4.73,4.68,4.7,4.74,-0.02,-0.4219,0.7951,103995312,489286934.0,80876932144.7,61731496959.8
2022-07-01,'601600,中国铝业,4.74,4.76,4.67,4.71,4.75,-0.01,-0.2105,0.8657,113219382,533381998.0,81219631009.7,61993071099.4
2022-06-30,'601600,中国铝业,4.75,4.78,4.72,4.73,4.76,-0.01,-0.2101,1.1327,148137132,703508832.0,81390980442.2,62123858169.2
2022-06-29,'601600,中国铝业,4.76,4.99,4.75,4.95,4.95,-0.19,-3.8384,2.4795,324287084,1567650130.0,81562329874.8,62254645239.1
2022-06-28,'601600,中国铝业,4.95,4.95,4.8,4.81,4.8,0.15,3.125,2.1857,285856704,1394063524.0,84817969092.4,64739599565.8
2022-06-27,'601600,中国铝业,4.8,4.86,4.73,4.75,4.74,0.06,1.2658,1.504,196704591,944114517.0,82247727604.8,62777793518.4
2022-06-24,'601600,中国铝业,4.74,4.75,4.68,4.74,4.76,-0.02,-0.4202,1.2203,159601996,752353752.0,81219631009.7,61993071099.4
2022-06-23,'601600,中国铝业,4.76,4.77,4.61,4.69,4.7,0.06,1.2766,1.6916,221244478,1034931921.0,81562329874.8,62254645239.1
2022-06-22,'601600,中国铝业,4.7,4.82,4.69,4.78,4.77,-0.07,-1.4675,1.3302,173975979,828377853.0,80534233279.7,61469922820.1
2022-06-21,'601600,中国铝业,4.77,4.87,4.74,4.85,4.86,-0.09,-1.8519,1.5859,207410139,992640931.0,81733679307.3,62385432308.9
2022-06-20,'601600,中国铝业,4.86,4.99,4.84,4.98,4.99,-0.13,-2.6052,2.0083,262653684,1281572876.0,83275824199.9,63562515937.4
2022-06-17,'601600,中国铝业,4.99,5.02,4.9,4.94,5.03,-0.04,-0.7952,1.735,226914949,1124961429.0,85503366822.5,65262747845.2
2022-06-16,'601600,中国铝业,5.03,5.19,5.01,5.12,5.06,-0.03,-0.5929,1.9013,248663713,1263244697.0,86188764552.5,65785896124.5
2022-06-15,'601600,中国铝业,5.06,5.15,4.92,4.94,4.97,0.09,1.8109,2.6377,344973071,1749365295.0,86702812850.1,66178257334.0
2022-06-14,'601600,中国铝业,4.97,5.05,4.72,5.02,5.08,-0.11,-2.1654,2.8588,373898128,1829507159.0,84602684566.5,65001173705.5
2022-06-13,'601600,中国铝业,5.08,5.18,5.02,5.08,5.15,-0.07,-1.3592,1.7708,231602778,1178747793.0,86475178591.1,66439831473.6
2022-06-10,'601600,中国铝业,5.15,5.18,4.95,4.98,5.07,0.08,1.5779,2.0273,265146587,1352279051.0,87666765697.6,67355340962.4
2022-06-09,'601600,中国铝业,5.07,5.19,5.03,5.17,5.2,-0.13,-2.5,1.589,207816836,1058801048.0,86304951861.6,66309044403.8
2022-06-08,'601600,中国铝业,5.2,5.21,5.02,5.09,5.05,0.15,2.9703,2.4055,314602271,1613308445.0,88517899345.2,68009276311.6
